Starting Training Loop...
[4/5][1100/1583]	Loss_D: 0.7600	Loss_G: 3.0200	D(x): 0.7613	D(G(z)): 0.3241 / 0.0690
[4/5][1150/1583]	Loss_D: 0.6450	Loss_G: 2.5425	D(x): 0.7397	D(G(z)): 0.2464 / 0.0973
[4/5][1200/1583]	Loss_D: 0.4905	Loss_G: 1.9208	D(x): 0.7259	D(G(z)): 0.1230 / 0.1846
[4/5][1250/1583]	Loss_D: 0.7098	Loss_G: 3.1593	D(x): 0.8071	D(G(z)): 0.3326 / 0.0638
[4/5][1300/1583]	Loss_D: 0.4758	Loss_G: 2.7525	D(x): 0.8032	D(G(z)): 0.1945 / 0.0803
[4/5][1350/1583]	Loss_D: 0.9697	Loss_G: 1.9338	D(x): 0.4435	D(G(z)): 0.0401 / 0.1964
[4/5][1400/1583]	Loss_D: 0.5481	Loss_G: 2.8004	D(x): 0.8690	D(G(z)): 0.3032 / 0.0787
[4/5][1450/1583]	Loss_D: 0.7724	Loss_G: 1.2175	D(x): 0.5505	D(G(z)): 0.0795 / 0.3559
[4/5][1500/1583]	Loss_D: 0.5359	Loss_G: 2.5828	D(x): 0.7881	D(G(z)): 0.2275 / 0.0952
[4/5][1550/1583]	Loss_D: 0.7346	Loss_G: 1.5676	D(x): 0.5988	D(G(z)): 0.1310 / 0.2445
